Time,Open,High,Low,Last,Change,%Chg,Volume
12/06/2022,62.55,62.55,62.55,62.55,-0.087,-0.14%,1
12/05/2022,62.411,62.692,62.01,62.637,0.145,+0.23%,285
12/02/2022,61.159,62.492,61.159,62.492,1.335,+2.18%,349
12/01/2022,61.107,61.212,60.965,61.157,0.077,+0.13%,99
11/30/2022,60.813,61.094,60.762,61.08,0.266,+0.44%,302
11/29/2022,61.167,61.24,60.802,60.814,-0.303,-0.50%,411
11/28/2022,60.692,61.301,60.632,61.117,0.374,+0.62%,1531
11/25/2022,60.337,60.777,60.336,60.743,0.404,+0.67%,381
11/24/2022,60.6,60.6,60.292,60.339,-0.258,-0.43%,444
11/23/2022,60.63,60.782,60.403,60.597,-0.032,-0.05%,268
11/22/2022,60.948,60.948,60.589,60.629,-0.344,-0.56%,297
11/21/2022,60.646,60.973,60.586,60.973,0.326,+0.54%,361
11/18/2022,60.538,60.784,60.211,60.647,0.092,+0.15%,328
11/17/2022,60.265,60.567,60.265,60.555,0.109,+0.18%,330
11/16/2022,61.395,61.409,60.033,60.446,-0.951,-1.55%,551
11/15/2022,59.535,61.397,59.535,61.397,0.399,+0.65%,374
11/14/2022,60.586,61.024,60.268,60.998,0.331,+0.55%,389
11/11/2022,60.606,60.667,60.113,60.667,0.094,+0.16%,330
11/10/2022,61.386,61.467,60.573,60.573,-0.796,-1.30%,277
11/09/2022,60.94,61.446,60.935,61.369,0.429,+0.70%,374
11/08/2022,61.426,61.426,60.926,60.94,-0.491,-0.80%,459
11/07/2022,62.18,62.18,61.022,61.431,-0.764,-1.23%,369
11/04/2022,62.205,62.281,61.79,62.195,-0.034,-0.05%,198
11/03/2022,61.944,62.251,61.89,62.229,0.277,+0.45%,368
11/02/2022,61.757,62.163,61.517,61.952,0.191,+0.31%,334
11/01/2022,61.677,61.761,61.291,61.761,0.066,+0.11%,284
10/31/2022,61.497,61.748,61.337,61.695,0.205,+0.33%,434
10/28/2022,61.291,61.674,61.291,61.49,0.199,+0.32%,451
10/27/2022,61.241,61.475,61.24,61.291,0.051,+0.08%,492
10/26/2022,61.794,61.853,61.24,61.24,-0.541,-0.88%,547
10/25/2022,61.896,62.004,61.525,61.781,-0.109,-0.18%,367
10/24/2022,61.358,61.924,61.143,61.89,0.526,+0.86%,270
10/21/2022,61.56,61.602,61.067,61.364,-0.209,-0.34%,367
10/20/2022,61.979,61.979,61.352,61.573,-0.485,-0.78%,360
10/19/2022,62.193,62.193,61.495,62.058,-0.166,-0.27%,425
10/18/2022,62.03,62.224,61.54,62.224,0.164,+0.26%,398
10/17/2022,62.434,62.434,61.508,62.06,-0.405,-0.65%,382
10/14/2022,63.859,63.859,62.465,62.465,-1.386,-2.17%,383
10/13/2022,63.69,64.102,63.266,63.851,0.161,+0.25%,438
10/12/2022,64.491,64.491,63.401,63.69,-0.871,-1.35%,548
10/11/2022,63.299,64.925,63.102,64.561,1.206,+1.90%,505
10/10/2022,61.19,63.355,61.19,63.355,1.313,+2.12%,393
10/07/2022,60.49,62.3,60.49,62.042,1.552,+2.57%,482
10/06/2022,60.993,60.993,59.997,60.49,-0.524,-0.86%,430
10/05/2022,58.99,61.014,58.341,61.014,2.024,+3.43%,555
10/04/2022,57.99,59.048,57.99,58.99,1,+1.72%,620
10/03/2022,60.475,60.475,57.692,57.99,-2.505,-4.14%,632
09/30/2022,58.335,61.046,56.614,60.495,2.093,+3.58%,519
09/29/2022,58.294,58.529,57.229,58.402,0.054,+0.09%,459
09/28/2022,59.129,59.129,58.298,58.348,-0.837,-1.41%,469
