"Symbol: ZWY00",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2020-05-22,528,528,528,528,0,,
2020-05-26,526,526,526,526,-2,,
2020-05-27,524,524,524,524,-2,,
2020-05-28,534,534,534,534,10,,
2020-05-29,540,540,540,540,6,,
2020-06-01,535,535,535,535,-5,,
2020-06-02,528,528,528,528,-7,,
2020-06-03,532,532,532,532,4,,
2020-06-04,543,543,543,543,11,,
2020-06-05,535,535,535,535,-8,,
2020-06-08,531,531,531,531,-4,,
2020-06-09,524,524,524,524,-7,,
2020-06-10,526,526,526,526,2,,
2020-06-11,519,519,519,519,-7,,
2020-06-12,522,522,522,522,3,,
2020-06-15,524,524,524,524,2,,
2020-06-16,516,516,516,516,-8,,
2020-06-17,508,508,508,508,-8,,
2020-06-18,498,498,498,498,-10,,
2020-06-19,496,496,496,496,-2,,
2020-06-22,495,495,495,495,-1,,
2020-06-23,496,496,496,496,1,,
2020-06-24,491,491,491,491,-5,,
2020-06-25,496,496,496,496,5,,
2020-06-26,484,484,484,484,-12,,
2020-06-29,495,495,495,495,11,,
2020-06-30,500,500,500,500,5,,
2020-07-01,508,508,508,508,8,,
2020-07-02,500,500,500,500,-8,,
2020-07-06,499,499,499,499,-1,,
2020-07-07,502,502,502,502,3,,
2020-07-08,526,526,526,526,24,,
2020-07-09,535,535,535,535,9,,
2020-07-10,544,544,544,544,9,,
2020-07-13,535,535,535,535,-9,,
2020-07-14,538.5,538.5,538.5,538.5,3.5,,
2020-07-15,562.5,562.5,562.5,562.5,24,,
2020-07-16,547.5,547.5,547.5,547.5,-15,,
2020-07-17,549,549,549,549,1.5,,
2020-07-20,537,537,537,537,-12,,
2020-07-21,542,542,542,542,5,,
2020-07-22,549,549,549,549,7,,
2020-07-23,544,544,544,544,-5,,
2020-07-24,554,554,554,554,10,,
2020-07-27,552,552,552,552,-2,,
2020-07-28,540.5,540.5,540.5,540.5,-11.5,,
2020-07-29,549.5,549.5,549.5,549.5,9,,
2020-07-30,547.5,547.5,547.5,547.5,-2,,
2020-07-31,548.5,548.5,548.5,548.5,1,,
2020-08-03,536,536,536,536,-12.5,,
2020-08-04,523,523,523,523,-13,,
2020-08-05,523,523,523,523,0,,
2020-08-06,516,516,516,516,-7,,
2020-08-07,510,510,510,510,-6,,
2020-08-10,516,516,516,516,6,,
2020-08-11,517.5,517.5,517.5,517.5,1.5,,
2020-08-12,517.5,517.5,517.5,517.5,0,,
2020-08-13,517.5,517.5,517.5,517.5,0,,
2020-08-14,517.5,517.5,517.5,517.5,0,,
2020-08-17,517.5,517.5,517.5,517.5,0,,
2020-08-18,517.5,517.5,517.5,517.5,0,,
2020-08-19,517.5,517.5,517.5,517.5,0,,
2020-08-20,517.5,517.5,517.5,517.5,0,,
2020-08-21,517.5,517.5,517.5,517.5,0,,
2020-08-24,517.5,517.5,517.5,517.5,0,,
2020-08-25,517.5,517.5,517.5,517.5,0,,
2020-08-26,552,552,552,552,34.5,,
2020-08-27,562.5,562.5,562.5,562.5,10.5,,
2020-08-28,559.25,559.25,559.25,559.25,-3.25,,
2020-08-31,563.75,563.75,563.75,563.75,4.5,,
2020-09-01,587,587,587,587,23.25,,
2020-09-02,566.25,566.25,566.25,566.25,-20.75,,
2020-09-03,566.25,566.25,566.25,566.25,0,,
2020-09-04,563.25,563.25,563.25,563.25,-3,,
2020-09-08,557.25,557.25,557.25,557.25,-6,,
2020-09-09,556.75,556.75,556.75,556.75,-0.5,,
2020-09-10,561.25,561.25,561.25,561.25,4.5,,
2020-09-11,555,555,555,555,-6.25,,
2020-09-14,558.75,558.75,558.75,558.75,3.75,,
2020-09-15,551.25,551.25,551.25,551.25,-7.5,,
2020-09-16,555,555,555,555,3.75,,
2020-09-17,566.75,566.75,566.75,566.75,11.75,,
2020-09-18,585.5,585.5,585.5,585.5,18.75,,
2020-09-21,565.25,565.25,565.25,565.25,-20.25,,
2020-09-22,568.5,568.5,568.5,568.5,3.25,,
2020-09-23,559.5,559.5,559.5,559.5,-9,,
2020-09-24,557.75,557.75,557.75,557.75,-1.75,,
2020-09-25,552.25,552.25,552.25,552.25,-5.5,,
2020-09-28,558.25,558.25,558.25,558.25,6,,
2020-09-29,557.5,557.5,557.5,557.5,-0.75,,
2020-09-30,586,586,586,586,28.5,,
2020-10-01,595.25,595.25,595.25,595.25,9.25,,
2020-10-02,598.25,598.25,598.25,598.25,3,,
2020-10-05,609.25,609.25,609.25,609.25,11,,
2020-10-06,617.75,617.75,617.75,617.75,8.5,,
2020-10-07,617.5,617.5,617.5,617.5,-0.25,,
2020-10-08,605.25,605.25,605.25,605.25,-12.25,,
2020-10-09,603.75,603.75,603.75,603.75,-1.5,,
2020-10-12,604.25,604.25,604.25,604.25,0.5,,
2020-10-13,604,604,604,604,-0.25,,
2020-10-14,606.75,606.75,606.75,606.75,2.75,,
2020-10-15,628.25,628.25,628.25,628.25,21.5,,
2020-10-16,635.25,635.25,635.25,635.25,7,,
2020-10-19,637,637,637,637,1.75,,
2020-10-20,642,642,642,642,5,,
2020-10-21,639.75,639.75,639.75,639.75,-2.25,,
2020-10-22,639.75,639.75,639.75,639.75,0,,
2020-10-23,642.75,642.75,642.75,642.75,3,,
2020-10-26,630,630,630,630,-12.75,,
2020-10-27,625.75,625.75,625.75,625.75,-4.25,,
2020-10-28,618.75,618.75,618.75,618.75,-7,,
2020-10-29,613.75,613.75,613.75,613.75,-5,,
2020-10-30,608.5,608.5,608.5,608.5,-5.25,,
2020-11-02,622.5,622.5,622.5,622.5,14,,
2020-11-03,623,623,623,623,0.5,,
2020-11-04,626,626,626,626,3,,
2020-11-05,629.25,629.25,629.25,629.25,3.25,,
2020-11-06,622,622,622,622,-7.25,,
2020-11-09,617.5,617.5,617.5,617.5,-4.5,,
2020-11-10,628.5,628.5,628.5,628.5,11,,
2020-11-11,618,618,618,618,-10.5,,
2020-11-12,608.25,608.25,608.25,608.25,-9.75,,
2020-11-13,613.5,613.5,613.5,613.5,5.25,,
2020-11-16,618,618,618,618,4.5,,
2020-11-17,615.25,615.25,615.25,615.25,-2.75,,
2020-11-18,617.75,617.75,617.75,617.75,2.5,,
2020-11-19,611.75,611.75,611.75,611.75,-6,,
2020-11-20,613.25,613.25,613.25,613.25,1.5,,
2020-11-23,618.75,618.75,618.75,618.75,5.5,,
2020-11-24,631.25,631.25,631.25,631.25,12.5,,
2020-11-25,618.25,618.25,618.25,618.25,-13,,
2020-11-27,618.25,618.25,618.25,618.25,0,,
2020-11-30,607.75,607.75,607.75,607.75,-10.5,,
2020-12-01,598.875,598.875,598.875,598.875,-8.875,,
2020-12-02,616,616,616,616,17.125,,
2020-12-03,612,612,612,612,-4,,
2020-12-04,603,603,603,603,-9,,
2020-12-07,605,605,605,605,2,,
2020-12-08,597.5,597.5,597.5,597.5,-7.5,,
2020-12-09,610.75,610.75,610.75,610.75,13.25,,
2020-12-10,624,624,624,624,13.25,,
2020-12-11,642,642,642,642,18,,
2020-12-14,624,624,624,624,-18,,
2020-12-15,627.25,627.25,627.25,627.25,3.25,,
2020-12-16,626,626,626,626,-1.25,,
2020-12-17,636.25,636.25,636.25,636.25,10.25,,
2020-12-18,635.75,635.75,635.75,635.75,-0.5,,
2020-12-21,638.75,638.75,638.75,638.75,3,,
2020-12-22,644.5,644.5,644.5,644.5,5.75,,
2020-12-23,657.25,657.25,657.25,657.25,12.75,,
2020-12-24,657.25,657.25,657.25,657.25,0,,
2020-12-28,641.75,641.75,641.75,641.75,-15.5,,
2020-12-29,646,646,646,646,4.25,,
2020-12-30,668.25,668.25,668.25,668.25,22.25,,
2020-12-31,673,673,673,673,4.75,,
2021-01-04,674.5,674.5,674.5,674.5,1.5,,
2021-01-05,686.5,686.5,686.5,686.5,12,,
2021-01-06,680,680,680,680,-6.5,,
2021-01-07,674.75,674.75,674.75,674.75,-5.25,,
2021-01-08,683.75,683.75,683.75,683.75,9,,
2021-01-11,679.75,679.75,679.75,679.75,-4,,
2021-01-12,710,710,710,710,30.25,,
2021-01-13,705.5,705.5,705.5,705.5,-4.5,,
2021-01-14,715,715,715,715,9.5,,
2021-01-15,720.5,720.5,720.5,720.5,5.5,,
2021-01-19,717.25,717.25,717.25,717.25,-3.25,,
2021-01-20,710.25,710.25,710.25,710.25,-7,,
2021-01-21,703.25,703.25,703.25,703.25,-7,,
2021-01-22,672,672,672,672,-31.25,,
2021-01-25,686,686,686,686,14,,
2021-01-26,702.75,702.75,702.75,702.75,16.75,,
2021-01-27,695.75,695.75,695.75,695.75,-7,,
2021-01-28,684.5,684.5,684.5,684.5,-11.25,,
2021-01-29,700.5,700.5,700.5,700.5,16,,
2021-02-01,688.5,688.5,688.5,688.5,-12,,
2021-02-02,682.25,682.25,682.25,682.25,-6.25,,
2021-02-03,685.75,685.75,685.75,685.75,3.5,,
2021-02-04,675,675,675,675,-10.75,,
2021-02-05,678.75,678.75,678.75,678.75,3.75,,
2021-02-08,693.25,693.25,693.25,693.25,14.5,,
2021-02-09,687,687,687,687,-6.25,,
2021-02-10,673,673,673,673,-14,,
2021-02-11,671,671,671,671,-2,,
2021-02-12,674.25,674.25,674.25,674.25,3.25,,
2021-02-16,695,695,695,695,20.75,,
2021-02-17,681.5,681.5,681.5,681.5,-13.5,,
2021-02-18,700,700,700,700,18.5,,
2021-02-19,688.25,688.25,688.25,688.25,-11.75,,
2021-02-22,701.5,701.5,701.5,701.5,13.25,,
2021-02-23,703.25,703.25,703.25,703.25,1.75,,
2021-02-24,717.75,717.75,717.75,717.75,14.5,,
2021-02-25,708.75,708.75,708.75,708.75,-9,,
2021-02-26,692.75,692.75,692.75,692.75,-16,,
2021-03-01,682.75,682.75,682.75,682.75,-10,,
2021-03-02,698.75,698.75,698.75,698.75,16,,
2021-03-03,688.5,688.5,688.5,688.5,-10.25,,
2021-03-04,683.5,683.5,683.5,683.5,-5,,
2021-03-05,685.5,685.5,685.5,685.5,2,,
2021-03-08,679,679,679,679,-6.5,,
2021-03-09,689,689,689,689,10,,
2021-03-10,685,685,685,685,-4,,
2021-03-11,675,675,675,675,-10,,
2021-03-12,671,671,671,671,-4,,
2021-03-15,677.5,677.5,677.5,677.5,6.5,,
2021-03-16,679.5,679.5,679.5,679.5,2,,
2021-03-17,672.5,672.5,672.5,672.5,-7,,
2021-03-18,672.5,672.5,672.5,672.5,0,,
2021-03-19,659.5,659.5,659.5,659.5,-13,,
2021-03-22,659.75,659.75,659.75,659.75,0.25,,
2021-03-23,667.25,667.25,667.25,667.25,7.5,,
2021-03-24,657.25,657.25,657.25,657.25,-10,,
2021-03-25,645,645,645,645,-12.25,,
2021-03-26,640.75,640.75,640.75,640.75,-4.25,,
2021-03-29,644.25,644.25,644.25,644.25,3.5,,
2021-03-30,629.25,629.25,629.25,629.25,-15,,
2021-03-31,645.5,645.5,645.5,645.5,16.25,,
2021-04-01,638.5,638.5,638.5,638.5,-7,,
2021-04-05,645.5,645.5,645.5,645.5,7,,
2021-04-06,643,643,643,643,-2.5,,
2021-04-07,643.75,643.75,643.75,643.75,0.75,,
2021-04-08,656.25,656.25,656.25,656.25,12.5,,
2021-04-09,666.25,666.25,666.25,666.25,10,,
2021-04-12,655.5,655.5,655.5,655.5,-10.75,,
2021-04-13,657.25,657.25,657.25,657.25,1.75,,
2021-04-14,675.5,675.5,675.5,675.5,18.25,,
2021-04-15,681.25,681.25,681.25,681.25,5.75,,
2021-04-16,680,680,680,680,-1.25,,
2021-04-19,679.75,679.75,679.75,679.75,-0.25,,
2021-04-20,687.25,687.25,687.25,687.25,7.5,,
2021-04-21,700.75,700.75,700.75,700.75,13.5,,
2021-04-22,737.75,737.75,737.75,737.75,37,,
2021-04-23,737.75,737.75,737.75,737.75,0,,
2021-04-26,767,767,767,767,29.25,,
2021-04-27,760.25,760.25,760.25,760.25,-6.75,,
2021-04-28,750.25,750.25,750.25,750.25,-10,,
2021-04-29,756.5,756.5,756.5,756.5,6.25,,
2021-04-30,762.25,762.25,762.25,762.25,5.75,,
2021-05-03,745.5,745.5,745.5,745.5,-16.75,,
2021-05-04,749.25,749.25,749.25,749.25,3.75,,
2021-05-05,764.5,764.5,764.5,764.5,15.25,,
2021-05-06,773.25,773.25,773.25,773.25,8.75,,
2021-05-07,781.75,781.75,781.75,781.75,8.5,,
2021-05-10,750.5,750.5,750.5,750.5,-31.25,,
2021-05-11,761.75,761.75,761.75,761.75,11.25,,
2021-05-12,749.75,749.75,749.75,749.75,-12,,
2021-05-13,721.5,721.5,721.5,721.5,-28.25,,
2021-05-14,727.25,727.25,727.25,727.25,5.75,,
2021-05-17,719.75,719.75,719.75,719.75,-7.5,,
2021-05-18,711.5,711.5,711.5,711.5,-8.25,,
2021-05-19,694.25,694.25,694.25,694.25,-17.25,,
2021-05-20,688.75,688.75,688.75,688.75,-5.5,,
2021-05-21,687.75,687.75,687.75,687.75,-1,,
2021-05-24,675.75,675.75,675.75,675.75,-12,,
2021-05-25,670,670,670,670,-5.75,,
2021-05-26,662,662,662,662,-8,,
2021-05-27,689.75,689.75,689.75,689.75,27.75,,
2021-05-28,677,677,677,677,-12.75,,
2021-06-01,707,707,707,707,30,,
2021-06-02,701,701,701,701,-6,,
2021-06-03,689.75,689.75,689.75,689.75,-11.25,,
2021-06-04,701.25,701.25,701.25,701.25,11.5,,
2021-06-07,693.5,693.5,693.5,693.5,-7.75,,
2021-06-08,698.5,698.5,698.5,698.5,5,,
2021-06-09,695.75,695.75,695.75,695.75,-2.75,,
2021-06-10,697.25,697.25,697.25,697.25,1.5,,
2021-06-11,694.25,694.25,694.25,694.25,-3,,
2021-06-14,688,688,688,688,-6.25,,
2021-06-15,677.5,677.5,677.5,677.5,-10.5,,
2021-06-16,681.25,681.25,681.25,681.25,3.75,,
2021-06-17,657.5,657.5,657.5,657.5,-23.75,,
2021-06-18,681.25,681.25,681.25,681.25,23.75,,
2021-06-21,680,680,680,680,-1.25,,
2021-06-22,667,667,667,667,-13,,
2021-06-23,672.75,672.75,672.75,672.75,5.75,,
2021-06-24,662.75,662.75,662.75,662.75,-10,,
2021-06-25,647,647,647,647,-15.75,,
2021-06-28,655,655,655,655,8,,
2021-06-29,646.75,646.75,646.75,646.75,-8.25,,
2021-06-30,678,678,678,678,31.25,,
2021-07-01,659.5,659.5,659.5,659.5,-18.5,,
2021-07-02,647.25,647.25,647.25,647.25,-12.25,,
2021-07-06,620,620,620,620,-27.25,,
2021-07-07,616.25,616.25,616.25,616.25,-3.75,,
2021-07-08,612,612,612,612,-4.25,,
2021-07-09,609,609,609,609,-3,,
2021-07-12,628.75,628.75,628.75,628.75,19.75,,
2021-07-13,621.75,621.75,621.75,621.75,-7,,
2021-07-14,642.25,642.25,642.25,642.25,20.5,,
2021-07-15,659,659,659,659,16.75,,
2021-07-16,679.5,679.5,679.5,679.5,20.5,,
2021-07-19,683.75,683.75,683.75,683.75,4.25,,
2021-07-20,686.5,686.5,686.5,686.5,2.75,,
2021-07-21,700.75,700.75,700.75,700.75,14.25,,
2021-07-22,680.75,680.75,680.75,680.75,-20,,
2021-07-23,671.5,671.5,671.5,671.5,-9.25,,
2021-07-26,663,663,663,663,-8.5,,
2021-07-27,656.5,656.5,656.5,656.5,-6.5,,
2021-07-28,670.75,670.75,670.75,670.75,14.25,,
2021-07-29,687.75,687.75,687.75,687.75,17,,
2021-07-30,685.25,685.25,685.25,685.25,-2.5,,
2021-08-02,712.5,712.5,712.5,712.5,27.25,,
2021-08-03,707.5,707.5,707.5,707.5,-5,,
2021-08-04,700.25,700.25,700.25,700.25,-7.25,,
2021-08-05,695.75,695.75,695.75,695.75,-4.5,,
2021-08-06,702,702,702,702,6.25,,
2021-08-09,696.25,696.25,696.25,696.25,-5.75,,
2021-08-10,709.5,709.5,709.5,709.5,13.25,,
2021-08-11,702.5,702.5,702.5,702.5,-7,,
2021-08-12,724.5,724.5,724.5,724.5,22,,
2021-08-13,733.25,733.25,733.25,733.25,8.75,,
2021-08-16,731.5,731.5,731.5,731.5,-1.75,,
2021-08-17,704,704,704,704,-27.5,,
2021-08-18,706.25,706.25,706.25,706.25,2.25,,
2021-08-19,693,693,693,693,-13.25,,
2021-08-20,679.75,679.75,679.75,679.75,-13.25,,
2021-08-23,685.25,685.25,685.25,685.25,5.5,,
2021-08-24,680,680,680,680,-5.25,,
2021-08-25,673.25,673.25,673.25,673.25,-6.75,,
2021-08-26,689.25,689.25,689.25,689.25,16,,
2021-08-27,682.5,682.5,682.5,682.5,-6.75,,
2021-08-30,672.75,672.75,672.75,672.75,-9.75,,
2021-08-31,668.75,668.75,668.75,668.75,-4,,
2021-09-01,656.25,656.25,656.25,656.25,-12.5,,
2021-09-02,661.5,661.5,661.5,661.5,5.25,,
2021-09-03,658.75,658.75,658.75,658.75,-2.75,,
2021-09-07,642.25,642.25,642.25,642.25,-16.5,,
2021-09-08,627,627,627,627,-15.25,,
2021-09-09,611.25,611.25,611.25,611.25,-15.75,,
2021-09-10,607.5,607.5,607.5,607.5,-3.75,,
2021-09-13,592,592,592,592,-15.5,,
2021-09-14,605.75,605.75,605.75,605.75,13.75,,
2021-09-15,617.25,617.25,617.25,617.25,11.5,,
2021-09-16,629,629,629,629,11.75,,
2021-09-17,624.75,624.75,624.75,624.75,-4.25,,
2021-09-20,616.75,616.75,616.75,616.75,-8,,
2021-09-21,606.25,606.25,606.25,606.25,-10.5,,
2021-09-22,621.75,621.75,621.75,621.75,15.5,,
2021-09-23,633.75,633.75,633.75,633.75,12,,
2021-09-24,639.75,639.75,639.75,639.75,6,,
2021-09-27,638.25,638.25,638.25,638.25,-1.5,,
2021-09-28,621,621,621,621,-17.25,,
2021-09-29,616.25,616.25,616.25,616.25,-4.75,,
2021-09-30,631.5,631.5,631.5,631.5,15.25,,
2021-10-01,660,660,660,660,28.5,,
2021-10-04,646.5,646.5,646.5,646.5,-13.5,,
2021-10-05,634.75,634.75,634.75,634.75,-11.75,,
2021-10-06,636,636,636,636,1.25,,
2021-10-07,631.25,631.25,631.25,631.25,-4.75,,
2021-10-08,624,624,624,624,-7.25,,
2021-10-11,621.75,621.75,621.75,621.75,-2.25,,
2021-10-12,624,624,624,624,2.25,,
2021-10-13,613.75,613.75,613.75,613.75,-10.25,,
2021-10-14,614.75,614.75,614.75,614.75,1,,
2021-10-15,624,624,624,624,9.25,,
2021-10-18,626.25,626.25,626.25,626.25,2.25,,
2021-10-19,626,626,626,626,-0.25,,
2021-10-20,639.25,639.25,639.25,639.25,13.25,,
2021-10-21,631.25,631.25,631.25,631.25,-8,,
2021-10-22,646,646,646,646,14.75,,
2021-10-25,649.5,649.5,649.5,649.5,3.5,,
2021-10-26,642.25,642.25,642.25,642.25,-7.25,,
2021-10-27,649.75,649.75,649.75,649.75,7.5,,
2021-10-28,662.5,662.5,662.5,662.5,12.75,,
2021-10-29,662.75,662.75,662.75,662.75,0.25,,
2021-11-01,689.25,689.25,689.25,689.25,26.5,,
2021-11-02,685.5,685.5,685.5,685.5,-3.75,,
2021-11-03,677,677,677,677,-8.5,,
2021-11-04,669.75,669.75,669.75,669.75,-7.25,,
2021-11-05,662.5,662.5,662.5,662.5,-7.25,,
2021-11-08,666,666,666,666,3.5,,
2021-11-09,678.5,678.5,678.5,678.5,12.5,,
2021-11-10,705,705,705,705,26.5,,
2021-11-11,716.5,716.5,716.5,716.5,11.5,,
2021-11-12,723,723,723,723,6.5,,
2021-11-15,734.5,734.5,734.5,734.5,11.5,,
2021-11-16,720.25,720.25,720.25,720.25,-14.25,,
2021-11-17,733.25,733.25,733.25,733.25,13,,
2021-11-18,733,733,733,733,-0.25,,
2021-11-19,738,738,738,738,5,,
2021-11-22,762.75,762.75,762.75,762.75,24.75,,
2021-11-23,775,775,775,775,12.25,,
2021-11-24,757.75,757.75,757.75,757.75,-17.25,,
2021-11-26,748.5,748.5,748.5,748.5,-9.25,,
2021-11-29,732.5,732.5,732.5,732.5,-16,,
2021-11-30,700.75,700.75,700.75,700.75,-31.75,,
2021-12-01,707.5,707.5,707.5,707.5,6.75,,
2021-12-02,737.5,737.5,737.5,737.5,30,,
2021-12-03,727.5,727.5,727.5,727.5,-10,,
2021-12-06,732,732,732,732,4.5,,
2021-12-07,736.25,736.25,736.25,736.25,4.25,,
2021-12-08,730.25,730.25,730.25,730.25,-6,,
2021-12-09,714.5,714.5,714.5,714.5,-15.75,,
2021-12-10,725,725,725,725,10.5,,
2021-12-13,730.5,730.5,730.5,730.5,5.5,,
2021-12-14,730.5,730.5,730.5,730.5,0,,
2021-12-15,758,758,758,758,27.5,,
2021-12-16,774.5,774.5,774.5,774.5,16.5,,
2021-12-17,781,781,781,781,6.5,,
2021-12-20,785.75,785.75,785.75,785.75,4.75,,
2021-12-21,809,809,809,809,23.25,,
2021-12-22,826,826,826,826,17,,
2021-12-23,828.75,828.75,828.75,828.75,2.75,,
2021-12-27,820,820,820,820,-8.75,,
2021-12-28,801.5,801.5,801.5,801.5,-18.5,,
2021-12-29,807.75,807.75,807.75,807.75,6.25,,
2021-12-30,801.75,801.75,801.75,801.75,-6,,
2021-12-31,794.75,794.75,794.75,794.75,-7,,
2022-01-03,788,788,788,788,-6.75,,
2022-01-04,800,800,800,800,12,,
2022-01-05,790.75,790.75,790.75,790.75,-9.25,,
2022-01-06,776,776,776,776,-14.75,,
2022-01-07,788.5,788.5,788.5,788.5,12.5,,
2022-01-10,792,792,792,792,3.5,,
2022-01-11,800.25,800.25,800.25,800.25,8.25,,
2022-01-12,780.25,780.25,780.25,780.25,-20,,
2022-01-13,769.25,769.25,769.25,769.25,-11,,
2022-01-14,764,764,764,764,-5.25,,
2022-01-18,786.5,786.5,786.5,786.5,22.5,,
2022-01-19,814,814,814,814,27.5,,
2022-01-20,807.75,807.75,807.75,807.75,-6.25,,
2022-01-21,797.5,797.5,797.5,797.5,-10.25,,
2022-01-24,818,818,818,818,20.5,,
2022-01-25,835.5,835.5,835.5,835.5,17.5,,
2022-01-26,812.5,812.5,812.5,812.5,-23,,
2022-01-27,794.5,794.5,794.5,794.5,-18,,
2022-01-28,803.75,803.75,803.75,803.75,9.25,,
2022-01-31,778.75,778.75,778.75,778.75,-25,,
2022-02-01,786.5,786.5,786.5,786.5,7.75,,
2022-02-02,772.5,772.5,772.5,772.5,-14,,
2022-02-03,769.25,769.25,769.25,769.25,-3.25,,
2022-02-04,769.25,769.25,769.25,769.25,0,,
2022-02-07,786.25,786.25,786.25,786.25,17,,
2022-02-08,796.25,796.25,796.25,796.25,10,,
2022-02-09,802.5,802.5,802.5,802.5,6.25,,
2022-02-10,776,776,776,776,-26.5,,
2022-02-11,802.25,802.25,802.25,802.25,26.25,,
2022-02-14,803.75,803.75,803.75,803.75,1.5,,
2022-02-15,784.25,784.25,784.25,784.25,-19.5,,
2022-02-16,785,785,785,785,0.75,,
2022-02-17,802.5,802.5,802.5,802.5,17.5,,
2022-02-18,801.5,801.5,801.5,801.5,-1,,
2022-02-22,848.75,848.75,848.75,848.75,47.25,,
2022-02-23,880.5,880.5,880.5,880.5,31.75,,
2022-02-24,930.875,930.875,930.875,930.875,50.375,,
2022-02-25,851.875,851.875,851.875,851.875,-79,,
2022-02-28,931.5,931.5,931.5,931.5,79.625,,
2022-03-01,979.5,979.5,979.5,979.5,48,,
2022-03-02,1066,1066,1066,1066,86.5,,
2022-03-03,1037.75,1037.75,1037.75,1037.75,-28.25,,
2022-03-04,1070,1070,1070,1070,32.25,,
2022-03-07,1141.5,1141.5,1141.5,1141.5,71.5,,
2022-03-08,1100.5,1100.5,1100.5,1100.5,-41,,
2022-03-09,1027,1027,1027,1027,-73.5,,
2022-03-10,1009,1009,1009,1009,-18,,
2022-03-11,1044.5,1044.5,1044.5,1044.5,35.5,,
2022-03-14,1029,1029,1029,1029,-15.5,,
2022-03-15,1072,1072,1072,1072,43,,
2022-03-16,991.75,991.75,991.75,991.75,-80.25,,
2022-03-17,1030.75,1030.75,1030.75,1030.75,39,,
2022-03-18,1005.75,1005.75,1005.75,1005.75,-25,,
2022-03-21,1054,1054,1054,1054,48.25,,
2022-03-22,1068.5,1068.5,1068.5,1068.5,14.5,,
2022-03-23,1062,1062,1062,1062,-6.5,,
2022-03-24,1049.25,1049.25,1049.25,1049.25,-12.75,,
2022-03-25,1069.75,1069.75,1069.75,1069.75,20.5,,
2022-03-28,1038,1038,1038,1038,-31.75,,
2022-03-29,998,998,998,998,-40,,
2022-03-30,1008.25,1008.25,1008.25,1008.25,10.25,,
2022-03-31,989,989,989,989,-19.25,,
2022-04-01,974.5,974.5,974.5,974.5,-14.5,,
2022-04-04,1002.5,1002.5,1002.5,1002.5,28,,
2022-04-05,1037.5,1037.5,1037.5,1037.5,35,,
